category,handle,name,rating,reviews
sales-channels-selling-in-person-store-locator,dealer-store-locator,TA MAPPY: Store Locator & Maps,5.0,404
sales-channels-selling-in-person-store-locator,stockist-store-locator,Stockist Store Locator,5.0,321
sales-channels-selling-in-person-store-locator,store-locator-map,GA: Google Maps+Store Locator,5.0,99
sales-channels-selling-in-person-store-locator,sticky-navigate-to-store,Way: Google Maps Store Locator,4.6,118
sales-channels-selling-in-person-store-locator,mapmigo,MAPMIGO: Store Locator & Maps,5.0,18
sales-channels-selling-in-person-store-locator,progus-store-locator,Progus Store Locator Map,4.7,84
sales-channels-selling-in-person-store-locator,mapstore,Mapstore ‑ Store Locator Map,4.9,15
sales-channels-selling-in-person-store-locator,storeify-store-locator,S: Store Locator,4.8,193
sales-channels-selling-in-person-store-locator,maps-by-develic,Omnium Maps,5.0,29
sales-channels-selling-in-person-store-locator,store-locator,SC Store Locator & Google Maps,4.7,233
sales-channels-selling-in-person-store-locator,stockist-maps,Stockist Maps: Store Locator,5.0,5
sales-channels-selling-in-person-store-locator,prolo-store-locator,Prolo: Dealer & Store Locator,5.0,4
sales-channels-selling-in-person-store-locator,store-locator-4,RP ProMap ‑ Store Locator,4.8,379
sales-channels-selling-in-person-store-locator,storelocators,StoreLocators: Live Retail Map,5.0,15
sales-channels-selling-in-person-store-locator,mapsy,Mapsy: Store Locator & Maps,5.0,4
sales-channels-selling-in-person-store-locator,storemapper,Storemapper Store Locator Map,4.9,87
sales-channels-selling-in-person-store-locator,mapify-4,Mapify: Store Locator & Maps,5.0,5
sales-channels-selling-in-person-store-locator,store-locator-mapular,Mapular ‑ Store Locator,5.0,8
sales-channels-selling-in-person-store-locator,pasilobus-store-locator,Pasilobus Store Locator,5.0,5
sales-channels-selling-in-person-store-locator,multi-store-locator,MSL: Store Locators,4.6,35
sales-channels-selling-in-person-store-locator,opening-hours,Opening Hours,5.0,3
sales-channels-selling-in-person-store-locator,dynamic-store-locator,Dynamic Store Locator,5.0,6
sales-channels-selling-in-person-store-locator,location-finder,Store Seek Store Locator Map,5.0,3
sales-channels-selling-in-person-store-locator,locatestore,Store Locator from Sheets,5.0,2
sales-channels-selling-in-person-store-locator,powr-map,POWR: Store Locator Map,4.6,70
sales-channels-selling-in-person-store-locator,locations-made-super,Locations So Super,4.3,10
sales-channels-selling-in-person-store-locator,snap-locator,Snap Locator: Store Finder,5.0,1
sales-channels-selling-in-person-store-locator,stockinstore-store-locator,stockinstore Store Locator,5.0,2
sales-channels-selling-in-person-store-locator,store-locator-se,Store Locator & Google Map: SE,5.0,4
sales-channels-selling-in-person-store-locator,closeby-store-locator,Closeby ‑ Store Locator,4.9,18
sales-channels-selling-in-person-store-locator,storemapdirectory,Locateify Store Map Directory,5.0,2
sales-channels-selling-in-person-store-locator,folkal,Folkal,5.0,5
sales-channels-selling-in-person-store-locator,advance-store-locator,AW Store Locator,5.0,33
