category,listed_total,tracked,mean_rating,share_below_4_5,median_reviews,reviews_gained,top_app_share_of_growth
store-management-operations-analytics,1389,95,4.677,0.147,74,0,
marketing-and-conversion-upsell-and-bundles-upsell-and-cross-sell,1014,96,4.856,0.031,236,0,
store-design-site-optimization-seo,989,96,4.848,0.042,82,0,
marketing-and-conversion-promotions-discounts,968,96,4.885,0.021,143,0,
orders-and-shipping-shipping-solutions-shipping,930,95,4.594,0.232,73,0,
store-management-support-chat,873,95,4.827,0.063,54,0,
orders-and-shipping-inventory-inventory-sync,596,88,4.727,0.148,52,0,
finding-products-sourcing-options-dropshipping,562,94,4.647,0.181,41,0,
orders-and-shipping-shipping-solutions-delivery-and-pickup,543,95,4.618,0.126,49,0,
orders-and-shipping-inventory-inventory-optimization,510,88,4.735,0.17,19,0,
orders-and-shipping-shipping-solutions-shipping-rates,500,94,4.466,0.245,28,0,
store-management-operations-workflow-automation,497,88,4.674,0.182,18,0,
marketing-and-conversion-checkout-cart-customization,495,96,4.876,0.031,73,0,
selling-products-custom-products-product-variants,463,95,4.856,0.042,89,0,
store-management-operations-bulk-editor,447,92,4.738,0.12,23,0,
store-design-notifications-pop-ups,438,96,4.827,0.031,87,0,
store-design-content-product-content,431,68,4.49,0.265,6,0,
store-design-notifications-banners,414,92,4.726,0.13,25,0,
marketing-and-conversion-social-trust-product-reviews,410,95,4.777,0.105,94,0,
orders-and-shipping-orders-invoices-and-receipts,409,88,4.625,0.182,21,0,
sales-channels-selling-online-store-data-importer,399,89,4.645,0.213,11,0,
store-management-security-legal,395,91,4.678,0.11,9,0,
marketing-and-conversion-marketing-email-marketing,390,84,4.719,0.143,42,0,
marketing-and-conversion-upsell-and-bundles-product-bundles,387,96,4.858,0.052,136,0,
marketing-and-conversion-customer-loyalty-loyalty-and-rewards,386,95,4.848,0.074,77,0,
store-design-storefronts-page-builder,367,91,4.713,0.143,19,0,
orders-and-shipping-shipping-solutions-third-party-logistics-3pl,366,55,4.245,0.345,4,0,
store-design-design-elements-badges-and-icons,361,86,4.733,0.093,33,0,
marketing-and-conversion-advertising-ads,360,92,4.647,0.25,48,0,
